player_id,player_name,season,team,position,age,games,snap_share,route_participation,target_share,targets_per_game,air_yards_share,adot,catch_rate,yptarget,yac_per_rec,rush_share,carries_per_game,ypc,rz_target_share,rz_rush_share,inside5_rush_share,inside10_target_share,rush_td,rec_td,pass_att_share,ypa,sack_rate,pass_td,receiving_yards,rushing_yards,passing_yards
00-0040676,Cam Ward,2025,TEN,QB,,17,0.9464705882352941,,0.0,0.0,0.0,,,,,0.10317460317460317,2.2941176470588234,4.076923076923077,,0.16666666666666666,0.09090909090909091,,2,0,0.9473684210526315,5.868518518518519,0.09243697478991597,15,0,159,3169
00-0040691,Jaxson Dart,2025,NYG,QB,,14,0.8364285714285714,,0.0,0.0,0.0,,,,,0.2097560975609756,6.142857142857143,5.662790697674419,,0.2857142857142857,0.3181818181818182,,9,0,0.8014184397163121,6.702064896755163,0.09358288770053476,15,0,487,2272
00-0040704,Dillon Gabriel,2025,CLE,QB,,10,0.562,,0.0,0.0,0.0,,,,,0.05263157894736842,1.4,6.142857142857143,,0.05128205128205128,0.0,,0,0,0.5538922155688623,5.064864864864865,0.09313725490196079,7,0,86,937
00-0040705,Chimere Dike,2025,TEN,WR,,17,0.5929411764705882,,0.13988657844990549,4.352941176470588,0.15272819989801123,8.094594594594595,0.6486486486486487,5.716216216216216,4.583333333333333,0.0291005291005291,0.6470588235294118,1.6363636363636365,0.23728813559322035,0.047619047619047616,0.18181818181818182,0.0847457627118644,0,4,0.0,,,0,423,18,0
00-0040715,Cam Skattebo,2025,NYG,RB,,8,0.5225,,0.1322314049586777,4.0,-0.0022482014388489208,-0.15625,0.75,6.46875,8.708333333333334,0.43162393162393164,12.625,4.0594059405940595,0.09090909090909091,0.5333333333333333,0.7142857142857143,0.022727272727272728,5,2,0.0,,,0,207,410,0
00-0040719,Bhayshul Tuten,2025,JAX,RB,,15,0.21625,,0.03255813953488372,0.9333333333333333,0.002052334530528476,0.5714285714285714,0.7142857142857143,5.642857142857143,8.0,0.19212962962962962,5.533333333333333,3.6987951807228914,0.025,0.24074074074074073,0.26666666666666666,0.0125,5,2,0.0,,,0,79,307,0
00-0040727,Tre Harris,2025,LAC,WR,,16,0.49,,0.08481262327416174,2.6875,0.09309941520467836,9.255813953488373,0.6976744186046512,7.534883720930233,4.633333333333334,0.004555808656036446,0.125,5.0,0.056818181818181816,0.014492753623188406,0.0,0.011363636363636364,0,1,0.0,,,0,324,10,0
00-0040729,Jack Bech,2025,LV,WR,,14,0.3975,,0.07631578947368421,2.0714285714285716,0.10062893081761007,8.275862068965518,0.6896551724137931,7.724137931034483,3.4,0.0,0.0,,0.07142857142857142,,,0.017857142857142856,0,0,0.0,,,0,224,0,0
00-0040730,RJ Harvey,2025,DEN,RB,,17,0.43736842105263163,,0.09948542024013722,3.411764705882353,0.0063941539164192734,0.4827586206896552,0.8103448275862069,6.137931034482759,7.659574468085107,0.3201754385964912,8.588235294117647,3.6986301369863015,0.11458333333333333,0.3918918918918919,0.47619047619047616,0.0625,7,5,0.0016313213703099511,0.0,0.0,0,356,540,0
00-0040734,TreVeyon Henderson,2025,NE,RB,,17,0.43047619047619046,,0.08713692946058091,2.4705882352941178,-0.000223463687150838,-0.023809523809523808,0.8333333333333334,5.261904761904762,6.9714285714285715,0.3643724696356275,10.588235294117647,5.061111111111111,0.04819277108433735,0.3956043956043956,0.27586206896551724,0.03614457831325301,9,1,0.0,,,0,221,911,0
00-0040735,Luther Burden III,2025,CHI,WR,,15,0.4182352941176471,,0.1279317697228145,4.0,0.11520160280490858,7.666666666666667,0.7833333333333333,10.866666666666667,7.1063829787234045,0.013574660633484163,0.4,6.166666666666667,0.05714285714285714,0.0,0.0,0.0,0,2,0.0,,,0,652,37,0
00-0040736,Mason Taylor,2025,NYJ,TE,,13,0.8107692307692307,,0.1846590909090909,5.0,0.14247720364741642,5.769230769230769,0.676923076923077,5.676923076923077,3.022727272727273,0.0,0.0,,0.17647058823529413,,,0.0784313725490196,0,1,0.0,,,0,369,0,0
00-0040737,Terrance Ferguson,2025,LA,TE,,11,0.37625,,0.06510416666666667,2.272727272727273,0.12151238591916558,18.64,0.44,9.24,3.6363636363636362,0.003278688524590164,0.09090909090909091,0.0,0.038461538461538464,0.017543859649122806,0.0,0.02564102564102564,0,3,0.0,,,0,231,0,0
00-0040739,Elijah Arroyo,2025,SEA,TE,,13,0.38571428571428573,,0.07669616519174041,2.0,0.07409902324014819,8.461538461538462,0.5769230769230769,6.884615384615385,5.2,0.0,0.0,,0.09803921568627451,,,0.058823529411764705,0,1,0.0,,,0,179,0,0
00-0040743,Tyler Shough,2025,NO,QB,,11,0.8345454545454545,,0.0,0.0,0.0,,,,,0.16129032258064516,4.090909090909091,4.133333333333334,,0.28205128205128205,0.38461538461538464,,3,0,0.8320610687022901,7.290519877675841,0.08659217877094973,10,0,186,2384
00-0040782,Isaiah Bond,2025,CLE,WR,,15,0.48062499999999997,,0.09341825902335456,2.933333333333333,0.22730024213075062,17.068181818181817,0.4090909090909091,7.681818181818182,4.388888888888889,0.014044943820224719,0.3333333333333333,5.8,0.06349206349206349,0.0,0.0,0.047619047619047616,0,0,0.0,,,0,338,29,0
00-0040784,Quinshon Judkins,2025,CLE,RB,,14,0.505,,0.08275862068965517,2.5714285714285716,-0.005053908355795148,-0.4166666666666667,0.7222222222222222,4.75,7.461538461538462,0.6609195402298851,16.428571428571427,3.5956521739130434,0.016666666666666666,0.6470588235294118,0.6,0.0,7,0,0.0,,,0,171,827,0
