pfr_id,rush_ybc_att,rush_yac_att,rush_broken_tackles,rush_att_per_broken,pfr_rush_att,rec_ybc_per_rec,rec_yac_per_rec,pfr_adot,rec_broken_tackles,rec_drop_pct,pfr_targets,player_id
HillTy00,,,,,,9.9,2.7,13.4,0.0,0.0,29.0,00-0033040
HineNy00,-1.5,0.5,0.0,,2.0,,,,,,,00-0034367
HockTJ00,0.0,0.0,0.0,,1.0,4.3,4.3,5.2,2.0,0.045,66.0,00-0035229
HodgIs00,,,,,,9.8,1.7,10.9,1.0,0.0,19.0,00-0036165
HodgKh00,,,,,,7.3,3.0,15.0,1.0,0.1,10.0,00-0034854
HolaGe00,1.6,1.7,3.0,7.3,22.0,-0.5,8.0,-0.5,0.0,0.0,2.0,00-0039299
HollMa00,4.0,0.0,0.0,,1.0,9.6,2.3,13.0,0.0,0.0,65.0,00-0033555
HomeTr00,-2.0,0.0,0.0,,1.0,,,,,,,00-0035594
HoopAu00,,,,,,8.4,4.1,8.9,0.0,0.0,26.0,00-0032392
HopkDe00,,,,,,12.0,3.0,13.2,0.0,0.0,39.0,00-0030564
HornJi00,6.8,1.9,0.0,,8.0,3.4,6.5,6.0,2.0,0.067,15.0,00-0040218
HortTo00,,,,,,9.8,2.5,15.3,1.0,0.0,22.0,00-0040648
HubbCh01,2.0,1.8,1.0,134.0,134.0,-2.3,9.7,-1.0,3.0,0.10300000000000001,39.0,00-0036555
HudsTa00,,,,,,4.5,4.4,5.0,1.0,0.0,24.0,00-0034613
HullEv00,1.5,1.1,0.0,,19.0,-4.0,10.0,-4.0,0.0,0.0,1.0,00-0038397
HumpLi01,,,,,,9.8,2.2,11.1,0.0,0.04,25.0,00-0035406
HumpLi01,,,,,,13.3,0.5,14.6,0.0,0.0,10.0,00-0035406
HumpLi01,,,,,,8.2,3.0,8.8,0.0,0.067,15.0,00-0035406
HuntKa00,1.8,2.0,7.0,23.3,163.0,-0.6,8.5,0.2,2.0,0.04,25.0,00-0033923
HuntTr00,0.0,0.0,0.0,,1.0,5.6,5.0,7.8,3.0,0.044000000000000004,45.0,00-0040718
HuntTy01,5.5,0.8,1.0,24.0,24.0,,,,,,,00-0035993
HurtJa00,3.3,0.7,3.0,35.0,105.0,,,,,,,00-0036389
HutcXa00,0.0,7.3,0.0,,3.0,8.1,4.2,10.2,3.0,0.035,57.0,00-0038618
HyatJa00,,,,,,6.6,0.4,20.0,0.0,0.0,14.0,00-0038938
IngoAl01,1.5,3.0,1.0,2.0,2.0,0.9,5.6,3.7,0.0,0.091,11.0,00-0035125
IosiAn00,3.7,1.0,0.0,,3.0,10.1,3.1,10.3,1.0,0.086,58.0,00-0038619
IrviBu00,1.8,1.6,10.0,17.3,173.0,-2.8,12.0,-1.6,6.0,0.0,35.0,00-0039361
JackLa00,3.8,1.4,7.0,9.6,67.0,,,,,,,00-0034796
JackSh01,2.0,1.0,0.0,,1.0,13.0,1.0,16.2,0.0,0.0,5.0,00-0038891
JacoJo01,2.0,2.0,16.0,14.6,234.0,-0.6,8.4,-0.9,5.0,0.023,44.0,00-0035700
JeanAs00,1.6,2.1,24.0,11.1,266.0,-1.9,8.2,-1.5,8.0,0.055,73.0,00-0040122
JeffJu00,2.5,1.0,0.0,,2.0,7.1,5.4,10.2,5.0,0.021,141.0,00-0036322
JeffVa00,,,,,,9.2,2.9,11.9,0.0,0.0,52.0,00-0036415
JennJa00,,,,,,8.4,3.3,10.1,4.0,0.033,90.0,00-0036259
JennTe00,2.2,1.0,1.0,23.0,23.0,2.0,7.0,2.0,0.0,0.0,1.0,00-0039757
JeudJe00,4.0,1.0,0.0,,1.0,8.7,3.3,12.2,0.0,0.094,106.0,00-0036407
JohnAm00,1.5,2.5,0.0,,2.0,,,-2.0,0.0,0.0,1.0,00-0040039
JohnDE04,1.1,0.6,1.0,14.0,14.0,,,,,,,00-0035628
JohnDE04,0.0,0.0,0.0,,1.0,,,,,,,00-0035628
JohnDE04,1.2,0.7,1.0,13.0,13.0,,,,,,,00-0035628
JohnJo05,3.3,1.3,0.0,,12.0,,,,,,,00-0026300
JohnJu02,,,,,,6.8,4.7,7.5,5.0,0.059000000000000004,102.0,00-0036040
JohnKa01,6.5,0.0,0.0,,2.0,11.0,5.0,12.6,0.0,0.14300000000000002,7.0,00-0039589
JohnKa03,1.3,1.2,2.0,14.0,28.0,-5.0,14.0,-4.0,0.0,0.5,2.0,00-0040142
JohnQu02,2.5,1.0,0.0,,2.0,10.1,4.3,11.8,5.0,0.024,84.0,00-0038544
JohnRo07,3.0,5.5,0.0,,2.0,,,,,,,00-0039021
JohnTe03,2.6,0.6,0.0,,7.0,7.6,3.9,11.7,1.0,0.045,44.0,00-0040237
JohnTh00,,,,,,7.6,4.2,8.3,1.0,0.068,74.0,00-0039847
JohnTy00,,,,,,11.1,5.3,11.7,3.0,0.111,18.0,00-0036427
JohnTy02,2.6,1.4,2.0,25.0,50.0,-1.6,12.5,-1.2,4.0,0.061,33.0,00-0035537
JoneAa00,2.4,1.8,5.0,26.4,132.0,-1.0,8.1,-0.5,0.0,0.049,41.0,00-0033293
JoneCh11,,,,,,,,42.0,0.0,0.0,1.0,00-0038576
JoneDa05,3.0,0.6,1.0,45.0,45.0,,,,,,,00-0035710
JoneJa16,,,,,,3.0,22.0,3.0,0.0,0.0,1.0,00-0040317
JoneMa05,1.2,0.5,1.0,36.0,36.0,,,,,,,00-0036972
JoneTi00,,,,,,4.0,11.0,4.0,0.0,0.0,1.0,00-0036497
JoneVe00,7.0,1.0,0.0,,4.0,,,,,,,00-0037745
JoneZa00,,,,,,12.3,3.0,13.4,0.0,0.0,18.0,00-0033891
JordJa00,2.4,2.1,8.0,5.4,43.0,-0.9,5.7,-0.9,0.0,0.0,7.0,00-0039405
JudkQu00,1.4,2.2,11.0,20.9,230.0,-0.9,7.5,-0.5,0.0,0.027999999999999997,36.0,00-0040784
JuszKy00,-1.5,0.0,0.0,,2.0,4.3,4.5,4.3,1.0,0.0,28.0,00-0029892
KallNi00,,,,,,,,8.0,0.0,0.0,1.0,00-0040058
KamaAl00,2.2,1.4,7.0,18.7,131.0,-0.5,6.1,0.8,2.0,0.051,39.0,00-0033906
KeenJa00,,,,,,7.5,0.0,7.5,0.0,0.0,2.0,00-0040388
KelcTr00,1.0,0.0,0.0,,1.0,5.6,5.6,6.8,1.0,0.065,108.0,00-0030506
KennTo01,,,,,,8.0,1.0,8.0,0.0,0.0,4.0,00-0035544
KincDa00,,,,,,8.0,6.6,9.5,1.0,0.02,49.0,00-0038933
KineCo00,2.4,2.4,1.0,12.0,12.0,4.5,3.0,3.7,0.0,0.33299999999999996,3.0,00-0040556
KinsMa00,,,,,,22.5,1.5,22.5,0.0,0.25,4.0,00-0036176
KirkCh01,,,,,,4.4,4.1,6.8,1.0,0.038,52.0,00-0034775
KittGe00,-3.0,0.0,0.0,,1.0,6.6,4.4,6.7,2.0,0.013999999999999999,69.0,00-0033288
