player_id,season,week,team,opponent,position,snaps,team_snaps,routes,team_dropbacks,targets,team_targets,receptions,receiving_yards,air_yards,team_air_yards,carries,team_carries,rushing_yards,pass_attempts,passing_yards,rz_targets,team_rz_targets,rz_carries,team_rz_carries,inside5_carries,team_inside5_carries,rush_td,rec_td,pass_td,anytime_td
00-0038559,2026,2,ARI,SEA,WR,47.0,50.0,,28,7,26,2,18,50,96,0,17,0,0,0,0.0,2.0,,3.0,,0.0,0,0,0,0
00-0038563,2026,2,LV,LAC,WR,37.0,62.71186440677966,,29,7,29,5,119,143,283,0,29,0,0,0,0.0,3.0,,7.0,,4.0,0,1,0,1
00-0038564,2026,2,NE,PIT,TE,14.0,56.0,,22,0,21,0,0,0,193,0,28,0,0,0,,3.0,,0.0,,0.0,0,0,0,0
00-0038573,2026,2,LAC,LV,WR,8.0,66.66666666666667,,27,1,26,0,0,14,261,0,32,0,0,0,0.0,1.0,,3.0,,2.0,0,0,0,0
00-0038597,2026,2,CIN,HOU,RB,42.0,60.00000000000001,,31,5,31,3,2,-15,173,20,23,80,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0
00-0038606,2026,2,JAX,DEN,WR,48.0,59.25925925925925,,29,12,28,7,98,177,290,0,24,0,0,0,0.0,3.0,,3.0,,2.0,0,0,0,0
00-0038608,2026,2,HOU,CIN,WR,58.0,80.55555555555556,,55,5,50,3,37,66,459,0,18,0,0,0,1.0,8.0,,2.0,,0.0,0,0,0,0
00-0038611,2026,2,JAX,DEN,RB,13.0,59.09090909090909,,29,0,28,0,0,0,290,6,24,13,0,0,,3.0,1.0,3.0,1.0,2.0,0,0,0,0
00-0038618,2026,2,HOU,CIN,WR,65.0,80.24691358024691,,55,9,50,3,37,112,459,0,18,0,0,0,1.0,8.0,,2.0,,0.0,0,0,0,0
00-0038619,2026,2,CIN,HOU,WR,32.0,60.37735849056603,,31,1,31,1,7,6,173,0,23,0,0,0,0.0,1.0,,1.0,,0.0,0,0,0,0
00-0038621,2026,2,NE,PIT,WR,26.0,55.319148936170215,,22,2,21,1,9,0,193,0,28,0,0,0,0.0,3.0,,0.0,,0.0,0,0,0,0
00-0038640,2026,2,ARI,SEA,WR,2.0,50.0,,28,0,26,0,0,0,96,0,17,0,0,0,,2.0,,3.0,,0.0,0,0,0,0
00-0038643,2026,2,SF,MIA,TE,13.0,52.0,,22,0,21,0,0,0,181,0,27,0,0,0,,5.0,,7.0,,5.0,0,0,0,0
00-0038685,2026,2,GB,NYJ,RB,27.0,58.69565217391304,,29,2,29,1,15,-2,216,4,18,11,0,0,0.0,3.0,3.0,5.0,0.0,0.0,0,0,0,0
00-0038705,2026,2,DAL,WAS,RB,9.0,56.25,,31,0,31,0,0,0,244,3,21,8,0,0,,5.0,0.0,5.0,0.0,1.0,0,0,0,0
00-0038710,2026,2,CLE,TB,TE,27.0,57.4468085106383,,30,2,30,1,17,6,108,0,23,0,0,0,1.0,5.0,,1.0,,0.0,0,1,0,1
00-0038728,2026,2,HOU,CIN,WR,40.0,80.0,,55,7,50,2,33,104,459,0,18,0,0,0,0.0,8.0,,2.0,,0.0,0,0,0,0
00-0038738,2026,2,DAL,WAS,RB,10.0,55.55555555555556,,31,0,31,0,0,0,244,1,21,1,0,0,,5.0,0.0,5.0,0.0,1.0,0,0,0,0
00-0038783,2026,2,DEN,JAX,TE,23.0,62.16216216216216,,31,3,29,3,32,24,270,1,28,6,0,0,1.0,5.0,0.0,6.0,0.0,4.0,0,1,0,1
00-0038794,2026,2,CLE,TB,RB,8.0,57.14285714285714,,30,1,30,0,0,1,108,1,23,3,0,0,0.0,5.0,0.0,1.0,0.0,0.0,0,0,0,0
00-0038797,2026,2,SEA,ARI,RB,29.0,70.73170731707317,,26,1,26,0,0,1,227,21,40,92,0,0,1.0,6.0,7.0,15.0,4.0,8.0,0,0,0,0
00-0038824,2026,2,MIA,SF,WR,7.0,58.333333333333336,,23,1,23,1,77,41,169,0,28,0,0,0,0.0,4.0,,8.0,,1.0,0,1,0,1
00-0038840,2026,2,CAR,ATL,WR,11.0,64.70588235294117,,36,0,32,0,0,0,291,0,22,0,0,0,,17.0,,7.0,,0.0,0,0,0,0
00-0038896,2026,2,DET,BUF,RB,0.0,,,38,0,38,0,0,0,337,0,20,0,0,0,,7.0,,4.0,,0.0,0,0,0,0
00-0038933,2026,2,BUF,DET,TE,49.0,74.24242424242424,,31,8,28,7,95,84,248,0,36,0,0,0,1.0,4.0,,7.0,,4.0,0,1,0,1
00-0038935,2026,2,JAX,DEN,TE,49.0,59.036144578313255,,29,2,28,2,17,17,290,0,24,0,0,0,1.0,3.0,,3.0,,2.0,0,0,0,0
00-0038994,2026,2,MIN,CHI,WR,46.0,52.27272727272727,,20,5,19,2,21,43,162,0,28,0,0,0,0.0,1.0,,0.0,,0.0,0,0,0,0
00-0038996,2026,2,GB,NYJ,TE,58.0,59.183673469387756,,29,3,29,2,15,10,216,0,18,0,0,0,0.0,3.0,,5.0,,0.0,0,0,0,0
00-0038997,2026,2,IND,KC,WR,54.0,65.06024096385542,,31,9,30,7,72,73,158,0,32,0,0,0,2.0,4.0,,6.0,,2.0,0,0,0,0
00-0039032,2026,2,TEN,PHI,RB,19.0,52.77777777777778,,20,2,17,2,29,1,113,7,29,41,0,0,0.0,3.0,1.0,11.0,0.0,4.0,0,0,0,0
00-0039040,2026,2,MIA,SF,RB,45.0,59.21052631578947,,23,6,23,3,19,24,169,20,28,74,0,0,0.0,4.0,4.0,8.0,1.0,1.0,0,0,0,0
00-0039041,2026,2,ARI,SEA,TE,13.0,50.0,,28,0,26,0,0,0,96,0,17,0,0,0,,2.0,,3.0,,0.0,0,0,0,0
00-0039065,2026,2,DET,BUF,TE,64.0,65.3061224489796,,38,7,38,6,52,23,337,0,20,0,0,0,2.0,7.0,,4.0,,0.0,0,1,0,1
00-0039066,2026,2,LV,LAC,TE,53.0,63.095238095238095,,29,4,29,3,23,18,283,0,29,0,0,0,0.0,3.0,,7.0,,4.0,0,0,0,0
00-0039067,2026,2,KC,IND,WR,63.0,79.74683544303797,,47,6,43,4,83,45,247,0,28,0,0,0,1.0,10.0,,5.0,,3.0,0,0,0,0
00-0039074,2026,2,LA,NYG,TE,32.0,61.53846153846153,,31,1,30,1,7,2,331,0,28,0,0,0,0.0,4.0,,2.0,,0.0,0,0,0,0
00-0039139,2026,2,DET,BUF,RB,54.0,65.06024096385542,,38,8,38,6,61,34,337,16,20,52,0,0,2.0,7.0,3.0,4.0,0.0,0.0,0,1,0,1
00-0039146,2026,2,GB,NYJ,WR,2.0,66.66666666666667,,29,1,29,1,4,-5,216,0,18,0,0,0,0.0,3.0,,5.0,,0.0,0,0,0,0
00-0039150,2026,2,CAR,ATL,QB,62.0,65.95744680851064,,36,0,32,0,0,0,291,1,22,6,36,287,,17.0,1.0,7.0,0.0,0.0,0,0,3,0
00-0039163,2026,2,HOU,CIN,QB,80.0,80.0,,55,0,50,0,0,0,459,3,18,29,55,353,,8.0,0.0,2.0,0.0,0.0,0,0,0,0
00-0039299,2026,2,SEA,ARI,RB,18.0,69.23076923076923,,26,1,26,1,2,-4,227,4,40,13,0,0,1.0,6.0,3.0,15.0,2.0,8.0,0,0,0,0
00-0039337,2026,2,NYG,LA,WR,43.0,58.10810810810811,,32,4,32,1,1,77,341,0,21,0,0,0,1.0,1.0,,3.0,,1.0,0,0,0,0
00-0039342,2026,2,CAR,ATL,WR,33.0,66.0,,36,4,32,2,64,77,291,0,22,0,0,0,1.0,17.0,,7.0,,0.0,0,0,0,0
00-0039344,2026,2,CAR,ATL,RB,20.0,66.66666666666667,,36,1,32,1,-5,-6,291,5,22,16,0,0,1.0,17.0,3.0,7.0,0.0,0.0,0,0,0,0
00-0039361,2026,2,TB,CLE,RB,51.0,65.38461538461539,,34,4,33,4,1,-22,413,17,25,89,0,0,2.0,9.0,1.0,4.0,0.0,0.0,0,0,0,0
00-0039364,2026,2,DET,BUF,RB,11.0,64.70588235294117,,38,1,38,1,13,1,337,1,20,7,0,0,0.0,7.0,0.0,4.0,0.0,0.0,0,0,0,0
00-0039365,2026,2,SF,MIA,WR,24.0,52.17391304347826,,22,0,21,0,0,0,181,0,27,0,0,0,,5.0,,7.0,,5.0,0,0,0,0
00-0039384,2026,2,NYG,LA,RB,1.0,50.0,,32,0,32,0,0,0,341,0,21,0,0,0,,1.0,,3.0,,1.0,0,0,0,0
00-0039391,2026,2,LAC,LV,RB,7.0,70.0,,27,0,26,0,0,0,261,0,32,0,0,0,,1.0,,3.0,,2.0,0,0,0,0
00-0039407,2026,2,LV,LAC,RB,8.0,61.53846153846153,,29,0,29,0,0,0,283,0,29,0,0,0,,3.0,,7.0,,4.0,0,0,0,0
00-0039410,2026,2,DAL,WAS,WR,42.0,55.26315789473684,,31,6,31,5,23,8,244,0,21,0,0,0,0.0,5.0,,5.0,,1.0,0,0,0,0
